Year,Industry_aggregation_NZSIOC,Industry_code_NZSIOC
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 4,OO213
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 1,PP
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
2016,Level 4,PP111
